"error","errorText","isin","mvUnitNotional","scenarioDate","scenarioSpecId","tradehubMessageId","type","zeroSimulation"
"false","","NO0010821598","0.10716050721640424","2009-02-19","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10808690792388484","2009-02-20","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10773538202564215","2009-02-23","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10825211931080284","2009-02-24","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10806015141232313","2009-02-25","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.1072994286529214","2009-02-26","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10789385274698293","2009-02-27","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10813763709555788","2009-03-02","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10754122606698008","2009-03-03","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10766823709350136","2009-03-04","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
"false","","NO0010821598","0.10820615452441876","2009-03-05","4c34a93a-eb55-4cc1-b92d-fc667f469f3a","1b889356296c789dcde49229ad1d9837b1512ac7","position","false"
